Wall time,Step,Value
1699584218.2482395,0,0.4006783366203308
1699584259.2943144,1,0.1008891835808754
1699584301.2392788,2,0.03794099763035774
1699584343.1996503,3,0.022312229499220848
1699584385.4276762,4,0.016698138788342476
